Пор.No,Арт.No,Име,Прод.цена
148,5114,B-ti Obiknoveni sini Kristal 130gr/30br Pobeda,0.43
149,5115,B-ti Oreo kakao 66gr,0.6
150,5116,B-ti Oreo Klasik 176gr,1.37
151,5117,B-ti Qna qbalka i slivi Sweet+ 190gr,1.01
152,5118,B-ti Roden krai tunkvani 160g,0.8
153,5119,Vafleni purichki s kakaov krem Sweet+,0.92
154,5120,Vafleni purichki leshnik  Sweet+ 150gr,0.92
155,5121,B-ti za kafe Sweet+ 170gr,0.8
156,5122,Vafleni biskviti kafe Sweet+ 155gr,1.05
157,5123,B-ti Amore Sweet+ 265gr,2.1
158,5124,Biskviti detska zakuska Pobeda 270gr,0.93
159,5125,B-ti detska zakuska kakao Pobeda 290gr,0.98
160,5126,Funiiki Ozmo techen shokolad bonbonki 25gr,0.24
161,5127,Desert Rodopa Fobos 30gr,0.19
162,5109,Chesan 250g,0
163,5128,Shokovadovi qica Kinder 20gr,0.83
164,5129,Vafla Mura s tumen shokolad 36gr,0.38
165,5130,Vafla Mura mlechen shokolad 33gr,0.27
166,5131,Vafla Mura s fustuci 37gr,0.28
167,5132,Vafla Mura leshnik 33gr,0.31
168,5133,Vafla Simona bqla\kafqva,0.21
169,5134,Vafla Hiper sinq 60gr,0.3
170,5135,Vafla Varna fustuk 40gr,0.2
171,5136,Suha pasta Barni mlqko 30gr.,0.3
172,5137,Vafla Troq Zdrach 32gr,0.2
173,5138,Vafla Troq Maxi 46gr,0.27
174,5139,Vafla Borovec kakao 30gr,0.24
175,5140,Vafla Troq 35gr,0.21
176,5141,Suha pasta Galena krem garash 24br,0.3
177,5142,B-ti Zlatna esen 165gr Bulgarska zahar,0.8
178,5143,B-ti Traqna mlqko 175gr,0.96
179,5144,Suha pasta Balkan kakao 38gr,0.25
180,5145,Medenka Choko pauza 50gr,0.21
181,5146,Bavarski keik Bg line 280gr,1.42
182,5147,Cocos keik Bg line 280gr,1.3
183,5148,Soleti Star Sticks 50gr,0.23
184,5149,Lukcheta evkalipt Zaharni zavodi 85gr,0.53
185,5150,Vafla Borovec 21 Cherven,1.97
186,5151,Vafla Naq 150 GR 6,0.64
187,5152,Vafla Borovec 120 RG 4,0.44
188,5153,Vafla Borovec Portokal 14,1.07
189,5154,Vafla Naq 21,2.02
190,5155,Vafla Naq 35 Kakao,3.27
191,5156,Vafla Naq kokos 6br.,0.52
192,5157,Vafla Borovec leshnik 24br.,1.97
193,5158,Vafla Naq kokos 15br,1.33
194,5160,Tradizionna lutenica Nasha Marka  520gr,0.85
195,5161,Domashna Lutenica Nasha Marka 515gr,1.6
196,5162,Domashna Lutenica Nasha Marka 265gr,1.06
197,5163,Tradiziona Lutenica Nasha Marka 265gr,0.83
198,5164,Domashna  lutenica Selce 270g,0.87
199,5165,Tradiciona lutenica Deroni detska mechta 260g,1.29
200,5166,Deroni Ibambaqlda 250gr,1.49
201,5167,Domashna edrosmlqna  Velika 265g,2.22
202,5168,Deroni Domashna Edrosmljana 520gr,2.5
203,5169,Domashno finosmlqna lutenica Deroni 525g,2.06
204,5170,Deroni Edrosmlqana Staroselska 520gr,2.59
205,5171,Domashna edro smlqna  Deroni 265g,1.45
206,5172,Deroni Edrosmlqna Domashna 315gr,1.65
207,5173,Dom. finosmlqna Deroni 320g,1.27
208,5174,Deroni Pikantna Lutenica 260gr,1.3
209,5175,Domashna finosmlqna Deroni 260gr,1.12
210,5176,Deroni Tradiziona Lutenica 260gr,1.12
